Date,GV6_0025,IGN-GV6_0006
2021-09-05T11:29:43.000Z,30.1,
2021-09-05T11:39:43.000Z,30.3,
2021-09-05T11:49:43.000Z,30.5,
2021-09-05T11:59:43.000Z,30.6,
2021-09-05T12:09:43.000Z,30.5,
2021-09-05T12:19:43.000Z,30.4,
2021-09-05T12:29:43.000Z,30.6,
2021-09-05T12:39:43.000Z,30.8,
2021-09-05T12:49:43.000Z,31,
2021-09-05T12:59:43.000Z,31.1,
2021-09-05T13:09:43.000Z,30.9,
2021-09-05T13:19:43.000Z,30.9,
2021-09-05T13:29:43.000Z,31.1,
2021-09-05T13:39:43.000Z,31.1,
2021-09-05T13:49:43.000Z,31.1,
2021-09-05T13:59:43.000Z,31.3,
2021-09-05T14:09:43.000Z,31.3,
2021-09-05T14:19:43.000Z,31.2,
2021-09-05T14:29:43.000Z,31.1,
2021-09-05T14:39:43.000Z,31.3,
2021-09-05T14:49:43.000Z,31.2,
2021-09-05T14:59:43.000Z,31.1,
2021-09-05T15:09:43.000Z,31.1,
2021-09-05T15:19:43.000Z,30.9,
2021-09-05T15:29:43.000Z,30.8,
2021-09-05T15:39:43.000Z,30.7,
2021-09-05T15:49:43.000Z,30.6,
2021-09-05T15:59:43.000Z,30.5,
2021-09-05T16:09:43.000Z,30.4,
2021-09-05T16:19:43.000Z,30.3,
2021-09-05T16:29:43.000Z,30.3,
2021-09-05T16:39:43.000Z,30.2,
2021-09-05T16:49:43.000Z,30.2,
2021-09-05T16:59:43.000Z,30.2,
2021-09-05T17:09:43.000Z,30.1,
2021-09-05T17:19:43.000Z,30.1,
2021-09-05T17:29:43.000Z,30.1,
2021-09-05T17:39:43.000Z,30,
2021-09-05T17:49:43.000Z,29.9,
2021-09-05T17:59:43.000Z,29.9,
2021-09-05T18:09:43.000Z,29.9,
2021-09-05T18:19:43.000Z,29.9,
2021-09-05T18:29:43.000Z,29.8,
2021-09-05T18:39:43.000Z,29.8,
2021-09-05T18:49:43.000Z,29.7,
2021-09-05T18:59:43.000Z,29.8,
2021-09-05T19:09:43.000Z,29.7,
2021-09-05T19:19:43.000Z,29.7,
2021-09-05T19:29:43.000Z,29.7,
2021-09-05T19:39:43.000Z,29.7,
2021-09-05T19:49:43.000Z,29.7,
2021-09-05T19:59:43.000Z,29.7,
2021-09-05T20:09:43.000Z,29.6,
2021-09-05T20:19:43.000Z,29.6,
2021-09-05T20:29:43.000Z,29.5,
2021-09-05T20:39:43.000Z,29.5,
2021-09-05T20:49:43.000Z,29.5,
2021-09-05T20:59:43.000Z,29.4,
2021-09-05T21:09:43.000Z,29.4,
2021-09-05T21:19:43.000Z,29.3,
2021-09-05T21:29:43.000Z,29.3,
2021-09-05T21:39:43.000Z,29.2,
2021-09-05T21:49:43.000Z,29.2,
2021-09-05T21:59:43.000Z,29.2,
2021-09-05T22:09:43.000Z,29.1,
2021-09-05T22:19:43.000Z,29.1,
2021-09-05T22:29:43.000Z,29.1,
2021-09-05T22:39:43.000Z,29,
2021-09-05T22:49:43.000Z,28.9,
2021-09-05T22:59:43.000Z,28.9,
2021-09-05T23:09:43.000Z,28.8,
2021-09-05T23:19:43.000Z,28.7,
2021-09-05T23:29:43.000Z,28.7,
2021-09-05T23:39:43.000Z,28.7,
2021-09-05T23:49:43.000Z,28.7,
2021-09-05T23:59:43.000Z,28.6,
2021-09-06T00:09:43.000Z,28.6,
2021-09-06T00:19:43.000Z,28.5,
2021-09-06T00:29:43.000Z,28.5,
2021-09-06T00:39:43.000Z,28.4,
2021-09-06T00:49:43.000Z,28.4,
2021-09-06T00:59:43.000Z,28.4,
2021-09-06T01:09:43.000Z,28.4,
2021-09-06T01:19:43.000Z,28.3,
2021-09-06T01:29:43.000Z,28.3,
2021-09-06T01:39:43.000Z,28.2,
2021-09-06T01:49:43.000Z,28.2,
2021-09-06T01:59:43.000Z,28.2,
2021-09-06T02:09:43.000Z,28.1,
2021-09-06T02:19:43.000Z,28.1,
2021-09-06T02:29:43.000Z,28.1,
2021-09-06T02:39:43.000Z,28,
2021-09-06T02:49:43.000Z,28,
2021-09-06T02:59:43.000Z,28,
2021-09-06T03:09:43.000Z,28,
2021-09-06T03:19:43.000Z,27.9,
2021-09-06T03:29:43.000Z,27.9,
2021-09-06T03:39:43.000Z,27.9,
2021-09-06T03:49:43.000Z,27.8,
2021-09-06T03:59:43.000Z,27.8,
2021-09-06T04:09:43.000Z,27.7,
2021-09-06T04:19:43.000Z,27.7,
2021-09-06T04:29:43.000Z,27.7,
2021-09-06T04:39:43.000Z,27.7,
2021-09-06T04:49:43.000Z,27.6,
2021-09-06T04:59:43.000Z,27.6,
2021-09-06T05:09:43.000Z,27.6,
2021-09-06T05:19:43.000Z,27.6,
2021-09-06T05:29:43.000Z,27.6,
2021-09-06T05:39:43.000Z,27.5,
2021-09-06T05:49:43.000Z,27.5,
