serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Lincoln,Châtiment corporel,4,2888900637,Western,Jouvray, Olivier,Jouvray, Jérôme,Paquet,2006-02-08
"Gaston Lagaffe (Editions Dupuis - 19 Tomes, 1997)","Gaston Lagaffe, Tome 19",19,2912536316,Humour,Franquin, André,Franquin, André,Marsu Productions,1999-12-01
Les profs,Interro surprise,1,2912715121,Humour,Erroc,,Pica,,Bamboo Éditions,2000-06-01
Les profs,Loto et colles,2,2912715245,Humour,Erroc,,Pica,,Bamboo Éditions,2001-06-01
Les profs,Tohu-bahut,3,2912715326,Humour,Erroc,,Pica,,Bamboo Éditions,2001-11-01
Les profs,Rentrée des artistes,4,2912715512,Humour,Erroc,,Pica,,Bamboo Éditions,2002-08-01
Le Messager,La sainte lance,1,2912715555,Polar-Thriller,Richez, Hervé,Mig,,Bamboo Éditions,2003-05-01
Les profs,Chute des cours,5,2912715903,Humour,Erroc,,Pica,,Bamboo Éditions,2003-08-01
Le donjon de Naheulbeuk,Coffret Le donjon de Naheulbeuk première saison,1,2913714846,Humour,Poc Lang, John,Poinsot, Marion,Clair de Lune,2006-05-18
Les aventuriers du NHL2987 Survivaure,Le cycle des krygonites C.1,1,2913714900,Humour,Guillois, Franck,Poinsot, Marion,Clair de Lune,2006-05-01
Le donjon de Naheulbeuk,Deuxième saison - Partie 1,3,2913714927,Humour,Poc Lang, John,Poinsot, Marion,Clair de Lune,2006-11-19
Top 10,"Top 10, Tome 1",1,2914082223,Comics,Moore, Alan,Ha, Gene,Semic,2000-10-01
Rising Stars,"Rising Stars, Tome 1",1,2914082428,Comics,Straczynski, J. Michaël,Cha, Keu,Semic,2001-07-01
Crisis on infinite earths,"Crisis, Tome 1",1,2914082487,Comics,Wolfman, Marv,Pérez, George,Semic,2001-08-01
Crisis on infinite earths,"Crisis, Tome 2",2,2914082541,Comics,Wolfman, Marv,Pérez, George,Semic,2002-03-01
Rising Stars,"Rising Stars, Tome 2",2,2914082665,Comics,Straczynski, J. Michaël,Zanier, Christian,Semic,2002-04-15
Crisis on infinite earths,"Crisis, Tome 3",3,2914082797,Comics,Wolfman, Marv,Pérez, George,Semic,2002-08-01
Mygala,Incubation,1,2914235577,Science-Fiction,Di Giorgio, Jean-François,Genêt, Frédéric,Nuclea,2003-04-01
Les carnets du gueuloir,Jos,1,2914401647,Romans Graphiques,Oliv',,Poulos,,petit à petit,2003-05-01
Sinkha,Hyleyn,1,2914409214,Science-Fiction,Patrito, Marco,Patrito, Marco,Éditions USA,2002-08-01
Sinkha,Atmosphere,2,2914409397,Science-Fiction,Patrito, Marco,Patrito, Marco,Éditions USA,2004-05-01
La ligue des gentlemen extraordinaires,Coffret - Les archives secrètes + le film en DVD,,2914409435,Comics,Moore, Alan,O'Neill, Kevin,Éditions USA,2004-11-01
Le Messager,Just before present,2,2915309558,Polar-Thriller,Richez, Hervé,Mig,,Bamboo Éditions,2004-11-24
